"","X1","X2","E.dnet.graph..TCP"
"1","M. P. (Martin Parker), d. 1656?","Grove, Francis 1623","A08988"
"2","M. P. (Martin Parker), d. 1656?","Grove, Francis 1623","A08988"
"3","D. S.","Harper, Thomas 1643","A11221"
"4","D. S.","Harper, Thomas 1643","A11221"
"5","Essex, Arthur Capel, Earl of, 1631-1683, recipient.","Newcomb, Thomas 1650","A23600"
"6","Essex, Arthur Capel, Earl of, 1631-1683, recipient.","Newcomb, Thomas 1650","A23600"
"7","J. M.","Downing, William 1675","A23607"
"8","J. M.","Downing, William 1675","A23607"
"9","Alleine, Theodosia.","Alleine, Joseph, 1634-1668.","A23622"
"10","Baxter, Richard, 1615-1691.","Alleine, Joseph, 1634-1668.","A23622"
"11","Alleine, Joseph, 1634-1668.","Newton, George, 1602-1681.","A23622"
"12","Alleine, Joseph, 1634-1668.","Simmons, Nevill 1655","A23622"
"13","Alleine, Theodosia.","Alleine, Joseph, 1634-1668.","A23622"
"14","Alleine, Theodosia.","Baxter, Richard, 1615-1691.","A23622"
"15","Alleine, Theodosia.","Newton, George, 1602-1681.","A23622"
"16","Alleine, Theodosia.","Simmons, Nevill 1655","A23622"
"17","Baxter, Richard, 1615-1691.","Alleine, Joseph, 1634-1668.","A23622"
"18","Alleine, Theodosia.","Baxter, Richard, 1615-1691.","A23622"
"19","Baxter, Richard, 1615-1691.","Newton, George, 1602-1681.","A23622"
"20","Baxter, Richard, 1615-1691.","Simmons, Nevill 1655","A23622"
"21","Alleine, Joseph, 1634-1668.","Newton, George, 1602-1681.","A23622"
"22","Alleine, Theodosia.","Newton, George, 1602-1681.","A23622"
"23","Baxter, Richard, 1615-1691.","Newton, George, 1602-1681.","A23622"
"24","Newton, George, 1602-1681.","Simmons, Nevill 1655","A23622"
"25","Alleine, Joseph, 1634-1668.","Simmons, Nevill 1655","A23622"
"26","Alleine, Theodosia.","Simmons, Nevill 1655","A23622"
"27","Baxter, Richard, 1615-1691.","Simmons, Nevill 1655","A23622"
"28","Newton, George, 1602-1681.","Simmons, Nevill 1655","A23622"
"29","Allen, Benjamin, 1663-1738.","Smith, Samuel 1681","A23627"
"30","Allen, Benjamin, 1663-1738.","Walford, Benjamin 1701","A23627"
"31","Allen, Benjamin, 1663-1738.","Smith, Samuel 1681","A23627"
"32","Smith, Samuel 1681","Walford, Benjamin 1701","A23627"
"33","Allen, Benjamin, 1663-1738.","Walford, Benjamin 1701","A23627"
"34","Smith, Samuel 1681","Walford, Benjamin 1701","A23627"
"35","Allen, James, 1632-1710.","Foster, John 1648","A23635"
"36","Allen, James, 1632-1710.","Foster, John 1648","A23635"
"37","Allen, James, 1632-1710.","Foster, John 1648","A23637"
"38","Allen, James, 1632-1710.","Foster, John 1648","A23637"
"39","Allen, Robert, fl. 1670.","Harriss, Charles.","A23648"
"40","Allen, Robert, fl. 1670.","Harriss, Charles.","A23648"
