"","ID","Role"
"Aylett, Robert, 1583-1655?","Aylett, Robert, 1583-1655?","Author"
"Higden, Ranulf, d. 1364.","Higden, Ranulf, d. 1364.","Author"
"Trevisa, John, d. 1402.","Trevisa, John, d. 1402.","Author"
"Jones, William, of Usk.","Jones, William, of Usk.","Author"
"Bacon, Francis, 1561-1626.","Bacon, Francis, 1561-1626.","Author"
"Henry VIII, King of England, 1491-1547.","Henry VIII, King of England, 1491-1547.","Author"
"Elizabeth I, Queen of England, 1533-1603.","Elizabeth I, Queen of England, 1533-1603.","Author"
"Aytoun, Robert, Sir, 1570-1638.","Aytoun, Robert, Sir, 1570-1638.","Author"
"Parker, Matthew, 1504-1575.","Parker, Matthew, 1504-1575.","Author"
"Grindal, Edmund, 1519?","Grindal, Edmund, 1519?","Author"
"Montagu, Richard, 1577-1641.","Montagu, Richard, 1577-1641.","Author"
"Boorde, Andrew, 1490?","Boorde, Andrew, 1490?","Author"
"Abbot, George, 1562-1633.","Abbot, George, 1562-1633.","Author"
"Cooper, Thomas, 1517?","Cooper, Thomas, 1517?","Author"
"Bonner, Edmund, 1500?","Bonner, Edmund, 1500?","Author"
"Sandys, Edwin, 1516?","Sandys, Edwin, 1516?","Author"
"Laud, William, 1573-1645.","Laud, William, 1573-1645.","Author"
"Juxon, William, 1582-1663.","Juxon, William, 1582-1663.","Author"
"Heylyn, Peter, 1600-1662.","Heylyn, Peter, 1600-1662.","Author"
"Cranmer, Thomas, 1489-1556.","Cranmer, Thomas, 1489-1556.","Author"
"Bancroft, Richard, 1544-1610.","Bancroft, Richard, 1544-1610.","Author"
"Wren, Matthew, 1585-1667.","Wren, Matthew, 1585-1667.","Author"
"G. B.","G. B.","Author"
"G. B., fl. 1592-1597.","G. B., fl. 1592-1597.","Author"
"H. B., fl. 1588.","H. B., fl. 1588.","Author"
"Jewel, John, 1522-1571.","Jewel, John, 1522-1571.","Author"
"Fotherby, Martin, Bishop of Salisbury, 1559-1619.","Fotherby, Martin, Bishop of Salisbury, 1559-1619.","Author"
"H. B., fl. 1566.","H. B., fl. 1566.","Author"
"H. B., fl. 1593.","H. B., fl. 1593.","Author"
"I. B., fl. 1547.","I. B., fl. 1547.","Author"
"Bradford, John, 1510?","Bradford, John, 1510?","Author"
"Bilson, Thomas, 1546 or 7-1616.","Bilson, Thomas, 1546 or 7-1616.","Author"
"Johnson, John, Archdeacon of Worcester.","Johnson, John, Archdeacon of Worcester.","Author"
"Verstegan, Richard, ca. 1550-1640.","Verstegan, Richard, ca. 1550-1640.","Author"
"Gilby, Anthony, ca. 1510-1585.","Gilby, Anthony, ca. 1510-1585.","Author"
"Pilkington, James, 1520?","Pilkington, James, 1520?","Author"
"Northampton, Henry Howard, Earl of, 1540-1614.","Northampton, Henry Howard, Earl of, 1540-1614.","Author"
"Fenner, Dudley, 1558?","Fenner, Dudley, 1558?","Author"
"Deloney, Thomas, 1543?","Deloney, Thomas, 1543?","Author"
"Epictetus.","Epictetus.","Author"
"Sandford, James.","Sandford, James.","Author"
"Healey, John, d. 1610.","Healey, John, d. 1610.","Author"
"Erasmus, Desiderius, d. 1536.","Erasmus, Desiderius, d. 1536.","Author"
"Robertson, Bartholomew, fl. 1620.","Robertson, Bartholomew, fl. 1620.","Author"
"Udall, Nicholas, 1505-1556.","Udall, Nicholas, 1505-1556.","Author"
"I. B.","I. B.","Author"
"Bate, John.","Bate, John.","Author"
"Bennet, John, Sir, d. 1627.","Bennet, John, Sir, d. 1627.","Author"
"Lesse, Nicholas.","Lesse, Nicholas.","Author"
"Rastell, John, d. 1536.","Rastell, John, d. 1536.","Author"
"Burton, William, d. 1616.","Burton, William, d. 1616.","Author"
"Gerrard, Philip.","Gerrard, Philip.","Author"
"Paynell, Thomas.","Paynell, Thomas.","Author"
"Whittington, Robert, d. ca. 1560.","Whittington, Robert, d. ca. 1560.","Author"
"Hervet, Gentian, 1499-1584.","Hervet, Gentian, 1499-1584.","Author"
