"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50"
"1","virgil","love","religion","now","till","man","john","musick","thou","bishop","many","good","song","king","lord","work","lord","against","new","wit","called","play","horace","diseases","christ","taken","lady","king","page","poem","make","poland","general","king","thing","church","king","being","writings","bankrupt","est","great","printed","king","under","grace","god","council","law","same"
"2","poet","noble","em","first","players","without","king","henry","thee","against","part","time","book","france","city","till","lordship","government","two","poet","people","mrs","satyr","influences","sermon","modern","london","castile","duke","verse","another","description","pope","years","notions","book","royal","make","age","against","qui","men","history","governour","holy","each","church","pope","part","printed"
"3","homer","fair","party","out","miss","same","order","price","soul","abbot","things","little","ode","death","took","amongst","servant","protestant","hope","stage","city","sir","satire","herbs","account","together","printed","spain","great","two","glass","king","kingdom","cleomenes","nature","england","tragedy","made","churches","commissioners","quae","nature","church","goes","empire","fear","against","works","wife","poems"
"4","esq","whose","malice","though","inn","english","constitutions","opera","god","monk","way","think","dryden","duke","nations","pass","lordships","faith","better","poets","sea","acted","latin","planets","lord","actions","thomas","portugal","paris","line","fine","towns","taken","came","philosophy","first","madam","self","without","before","nec","best","dr","john","religion","poor","book","genuine","husband","translated"
"5","aeneas","beauty","turn","man","shadwell","better","clergy","book","come","flourish","several","himself","verse","against","kings","country","covent","popish","humble","write","now","comedy","first","tree","epistle","virtue","lover","aragon","war","poetry","white","city","new","gave","notion","beginning","written","well","table","statutes","pro","take","english","portuguese","afterwards","sure","latin","treatise","within","ovid"
"6","before","fame","took","before","pray","action","robert","purcell","heaven","same","without","true","hand","henry","walls","shew","honour","blessed","majesty","plays","country","here","iuvenal","mars","father","likewise","gentleman","dies","league","lordship","black","division","emperor","put","knowledge","men","highness","never","great","ireland","cum","themselves","books","saint","put","down","viz","letters","oath","written"
"7","words","vain","understanding","give","turn","words","questions","songs","sent","rome","found","thought","several","earl","brought","fortune","generous","doctrine","late","find","roman","love","alphabet","proceeding","oxford","ancients","servant","moors","first","language","doctor","account","naples","enemies","things","election","queen","world","popes","statute","ut","here","england","against","law","damn","principles","year","masque","earl"
"8","augustus","eyes","ridiculous","know","stay","see","excommunicated","way","sing","life","use","reason","translation","son","reign","making","bentley","kingdom","care","ill","rome","old","turn","mercury","dean","otherwise","lord","betwixt","army","read","enamel","cities","spain","sent","principles","still","prince","both","london","vide","si","common","sir","great","doctor","crown","england","books","farce","lady"
"9","aeneid","glory","guilty","age","woman","character","four","art","astrea","work","french","design","against","charles","war","small","russel","nation","known","ladies","italy","young","poetry","saturn","testament","point","man","death","up","poets","quixot","death","rome","house","ideas","paul","henry","author","psalms","grand","aut","above","london","out","discipline","away","alphabet","letter","caesar","charles"
"10","both","woman","ignorant","up","half","against","second","onely","death","archbishop","second","honour","muse","lewis","command","history","earl","saviour","nation","poetry","river","em","satyrs","cure","sin","relation","names","france","flanders","subject","red","chief","florence","army","reason","before","duke","thing","call","parliament","hoc","mind","price","fortress","subject","heaven","collier","made","fol","death"
